CLIENTE;EMISSAO;DT.SAIDA;C.E.P.;UF;CEP.ENTR.;UFE
06057-4;15/01/2024;15/01/2024;18110-650;SP;18110-650;SP
06057-4;05/02/2024;05/02/2024;18110-650;SP;18110-650;SP
06057-4;07/02/2024;07/02/2024;18110-650;SP;18110-650;SP
06057-4;04/03/2024;04/03/2024;18110-650;SP;18110-650;SP
06057-4;04/03/2024;04/03/2024;18110-650;SP;18110-650;SP
06057-4;12/03/2024;12/03/2024;18110-650;SP;18110-650;SP
06057-4;01/04/2024;01/04/2024;18110-650;SP;18110-650;SP
06057-4;01/04/2024;01/04/2024;18110-650;SP;18110-650;SP
06065-7;21/02/2024;21/02/2024;13092-108;SP;13092-108;SP
06065-7;06/03/2024;06/03/2024;13092-108;SP;13092-108;SP
06065-7;20/03/2024;20/03/2024;13092-108;SP;13092-108;SP
